after_treatment,text
个头 都 挺 大 个别 有点 酸 已经 吃 几个,个头都挺大的，就是个别有点酸。已经吃了几个了哈哈
还 不错 苹果 稍微 有小块 腐烂 不 影响 食用 大家 小 建议 冷链 运输 收到 货后 苹果 表层 会 水分 这时候 出来 擦拭 晾 一会 千万别 闷 纸箱 里 上次 做 不 放 冰箱 保存 星期 口感 好,还不错的，就一个苹果稍微有小块腐烂，但不影响食用。可以给大家一个小建议:由于是冷链运输，收到货后，苹果表层会有水分。这时候要拿出来擦拭晾一会，千万别闷在纸箱里！！！！上次我也是这样做，不放冰箱，也保存了一个星期。口感还是很好的，
苹果 新鲜 还会 再次 购入 活动 价比 店里 直接 买 实惠 太多,苹果很新鲜，还会再次购入，活动价比店里直接买实惠太多了
不错 苹果 大小 均匀 色泽 不错 淡淡的 果香 还 没 吃 应该 不错 感觉 性价比 好,不错的苹果，大小均匀，色泽不错，还有淡淡的果香，还没吃，应该不错，感觉性价比很好！
不错 很甜 水份 很多 这次 买 值 下次 还来,不错，很甜的，水份也很多，这次买的值了，下次还来。
脆 甜 好 买 好 几次 果子 不大,又脆又甜，很好，买了好几次了，就是果子不大！
老师 买 老师 说 新鲜 相信 京东 快 好,给老师买的，老师说很新鲜，相信京东，就是快。就是好。
味道 很甜 没有 蜡 包装 好看 第三次 买 推荐,味道很甜，没有什么蜡，包装也好看，第三次买了，很推荐
京东 质量 有所 下降 一定 需要 十个 字,京东质量有所下降啊。。一定需要十个字吗？
回来 吃 苹果 很甜 价格 水果店 买 果 不大 小孩 吃 正好 总体 第一次 京东 买 水果 满 100 包邮 买 东西 还 不 包括 里面 本来 想 买点 酱 购物车 提交 还要 付 6 块钱 运费 想想 算了,拿回来就吃了一个，苹果很甜。这个价格水果店也能买，果不大，小孩吃一个正好。总体还是可以的，第一次在京东买，就是水果满100包邮，买了其他的东西还不包括在里面。本来想买点酱，购物车提交的时候还要付6块钱运费，想想还是算了。
好 尴尬 订单 买 好多 东西 分成 好多个 包裹 大 包小包 东西 挺好吃 分量 足 特 喜欢 京东 搞 活动 便宜 好 货,好尴尬，一个订单买了好多东西，结果分成了好多个包裹，大包小包的……不过东西挺好吃的，分量也足，特喜欢京东搞活动，便宜也有好货！
超市 卖 差不多 没什么 特别,和超市卖的差不多，没什么特别。
盒子 不错 自营 隔日 达 隔 盒子 闻见 清香 个头 太小 下次 买 80 吃 看看,盒子不错，自营的隔日达。隔着盒子能闻见清香，就是有些个头太小了，下次买80的吃看看
秒 杀价 买 两箱 划算 个体 大小 均匀 没有 坏 烂 包装 大红色 喜庆 生产日期 新鲜,秒杀价买的这两箱，很划算，个体大小均匀，没有坏的烂的，包装大红色很喜庆，生产日期也很新鲜。
包装 好 配送 快 苹果 新鲜 甜脆 爽口 值得 购买,包装好，配送快，苹果新鲜，甜脆爽口，值得购买
还 不错 本来 担心 会 不好 送到 家里 打开 发现 还 味道 不错 儿子 说 好吃 感觉 超市 买 好吃 同样 价位 买 4 箱 值得 推荐,还不错，本来担心会不好，送到家里打开发现还可以，味道不错，儿子说好吃，感觉比在超市买的好吃，同样价位的，我买了4箱，还是值得推荐的
买过 多次 果子 不大 口感 好 酸酸甜甜 爽脆 总重量 不小 超市 划算 必须 东哥 做 广告 买 生鲜 京东 值得 拥有,这个买过很多次了，虽说果子不大，但是口感很好，酸酸甜甜，爽脆，总重量不小，比超市划算多了，必须给东哥做一个广告，买生鲜，就来京东，你值得拥有
包装 好 送货 快 果 好吃 5 分,包装很好，送货快，果好吃，5分
苹果 很甜 个别 有伤 不 影响 食用 不 换货 京东 添麻烦 感谢 京东 快递 辛苦,苹果很甜，只是个别有伤的，不过不影响食用，就不换货给京东添麻烦了，感谢京东快递，辛苦了
苹果 几个 磕磕碰碰 坏到 不能 吃 倒 没有 比较 小 挺好吃,苹果有几个磕磕碰碰，坏到不能吃的倒没有，比较小，不过挺好吃的～
拆开 包装 都 好 个头 还 没 吃,拆开包装，都是好的，个头一般，还没吃。
不错 多次 买 京东 自营 值得 信任,很不错，多次买了，京东自营值得信任
小朋友 说 苹果 好 好吃 上午 下单 下午 超赞 包装 好,小朋友说这个苹果好好吃！上午下单下午到！超赞！包装很好！
超 漂亮 苹果 以后 水果 京东 买 惊喜,超漂亮的苹果，以后水果就到京东买，惊喜
好 苹果 喜欢 喜欢,好苹果一直就是她。    喜欢很喜欢
潘 苹果 不过如此 压坏 那种 那种 现象 不是 物流 压 可能 苹果 放 时间 长,潘苹果，不过如此，而且还有压坏的那种，那种现象。嗯，但并不是物流压的，可能就是，或者是苹果放的时间长了。
有点 贵 好吃 无坏果 物流 6 天 没有 坏 厉害,有点贵，但好吃，无坏果，物流等了6天，也没有坏，厉害了
好 好 哦哦哦 哦哦哦 哦哦哦 哦哦哦 哦哦哦 哦哦哦 哦哦哦,很好很好哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦
酸甜 可口 脆脆 家人 都 爱 吃 更 大点 更好 人 吃 刚好,酸甜可口，脆脆的，家人都爱吃，要是有更大点的更好，这个一个人吃刚好
以为 表面 摔坏 一点 切开 才 发现 里面 坏,以为只是表面摔坏了一点，切开才发现是里面坏了
个头 不太大 包装 完善 没有 问题 总体 挺 好,个头不太大，包装完善，没有一个有问题的，总体挺好的
还 不错 试 味道 脆 苹果 还 算 新鲜 会 回购,还不错 试了味道是脆苹果 还算新鲜 会回购的
还 不错 买 三家 苹果 排 算是 蛮 好吃,还不错，同时买了三家的苹果，排第二，算是蛮好吃的。
苹果 品质 好 中午 下单 晚上 收到 苹果 很甜 很大,苹果品质很好，中午下单晚上就收到，苹果很甜很大个
第二次 买 苹果 真心 不错 脆 甜 新鲜 晕 刚 收到 货 每箱 降 5 元 还 不 价保 无语,第二次买了 苹果是真心不错 又脆又甜 又新鲜 晕的是刚收到货每箱就降5元 还不给价保 无语
好吃 不是 第一次 买 脆 甜 买 爸妈 弟弟 吃 吃 完 再 买,好吃，不是第一次买了！又脆又甜，买给爸妈和弟弟吃的，吃完再来买
不错 好 苹果 朋友 都 喜欢,不错，很好的苹果?，我和朋友都很喜欢
已 多次 买 脆甜 多汁 不买 后悔,已多次买，脆甜，多汁，不买后悔。
不错 以前 买 都 带 皮 吃,不错啊，跟以前买的一样，我一直都是带皮吃的。
苹果 还 算 不错 个头 大 口感 好 一分 价钱 一分货,这个苹果还算不错，个头大，口感好，果然是一分价钱一分货啊
送货 超快 苹果 小 可怜 我家 个头 比比 小 可怜 诶 没 办法 吃,送货超快，苹果?小的可怜，和我家一般个头的比比，就是小可怜，诶，没办法，吃吧.
非常 好 华润 万家 苹果 好太多 没 打蜡 快递 力 大 晚上 送过来,非常好。比华润万家的苹果好太多了。没打蜡，快递也很给力。大晚上的送过来。
味道 不错 箱子 里 水果 都 京东 购买,味道不错哦，箱子里的水果都是京东购买的
水果 一批 都 不 希望 上次 好,水果每一批都不一样，希望像上次那么好。
物流配送 速度快 物品 不错 继续 保持 再 惠顾,物流配送速度快，物品不错，继续保持，再惠顾。
华圣 高原 红富士 苹果 12 个装 约 2 2.1 kg 新鲜 水果,华圣 高原红富士苹果 12个装 约2-2.1kg 新鲜水果
苹果 香脆 包装 良好 配送 快,苹果香脆，包装良好，配送也快！
包装 无 封口 估计 都 打开 看 换 不 知道 是不是 正品 极差 购买 京东 越来越 差,包装无封口，估计哪个都能打开看或者换，不知道是不是正品?极差的一?购买?京东越来越差了
还行 还行 还行 还行 还行 还行 还行 还行 还行,还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧
发现 苹果 后 没 再 去 超市 百 果园 买 苹果 脆甜 碰伤 都 没有 这次 买 4 箱,自从发现这个苹果后就没再去超市百果园什么的买过苹果了。脆甜，一个碰伤的都没有。这次买了4箱。
很甜 脆 新鲜 店里 买 方便 好 以后 买 快递 早上 下单 现在 四点 收货 太棒了 赞赞赞,很甜脆，新鲜，比店里买的方便多了，又好，以后就这里买了！快递早上下单，现在四点多就收货了，太棒了，赞赞赞
搞 电脑 里 东西 想 制作 视频 问 PS4 游戏 咋个 回事 不能 共享 忙 弄 东西 居然 喊 去 百度 说 不忙 知道 东西 为啥 还要 去 百度 直接 说 不是 更 直接 清楚 不耐烦 说 专心 弄 东西 刚才 没事 说 问 问题 还要 挑 时间 还要 预约 是不是 现在 搞 不是 十万火急 东西 不是 工作 纯粹 耍 回答 问题 老火 你一言 一句 吵起来 摔门 走 支持 京东,他在搞电脑里的东西，想制作一个视频，我问他PS4的游戏是咋个回事，能不能共享，他忙着弄他的东西，居然喊我去百度，我说你又不忙，你知道的东西为啥我还要去百度，你直接给我说不是更直接清楚，他很不耐烦的说他在专心弄东西，刚才没事的时候我咋又不问。我说我问你个问题还要挑时间还要跟你预约是不是？你现在搞的又不是十万火急的东西又不是工作纯粹是在耍，回答个问题就这么老火？然后你一言我一句就吵起来了，我就摔门走了，支持京东
已经 不止 第一次 京东 买 鲜果 味道 真是 不错 包装 精致 送货 速度快 质量 保证,已经不止第一次在京东买鲜果了，味道真是不错，包装精致，送货速度快，质量有保证。
苹果 买 九个 很小 不 甜 不是 好吃,苹果，我买九个的，很小，然后也不甜，不是很好吃。
总共 十一个 坏 味道 挺 好 甜,总共十一个，坏了一个，味道挺好，甜的很
还 不错 挺快 便宜 点 好,还不错的，挺快的。要是便宜点就好了。
吃 3 2 口感 酸涩 半生不熟 果皮 厚 2 果皮 颜色 脏兮兮 病果 颜色 暗淡 更 不 富士 苹果 果皮 鲜亮 次 等级 掺 好 里 混搭卖 高价,吃了3个，2个口感酸涩，半生不熟，果皮厚    2个果皮颜色脏兮兮的，像病果，颜色暗淡，    更不像富士苹果果皮 那样 鲜亮    次等级的掺在好的 里 ，混搭卖高价
很棒 苹果 长 都 挺 好看 上面 标签 实在 问题 揭掉 会 留下 胶,很棒，苹果长的都挺好看。然而上面那个标签实在是有问题，揭掉会留下胶
好 苹果 脆甜 多汁 买 好 多次,好，苹果脆甜多汁。买了好多次了。
不错 牌子 挺好吃 超市 买 好多 继续 坚持 品质 路线,不错，这个牌子挺好吃，比超市买的好多了，要继续坚持品质的路线
物流 第二天 两层 小袋 包装 总共 十二个 个头 不大 还 挺 红 最后 发现 两个 磕碰 总体 便宜,物流第二天就到了 两层小袋包装 总共十二个 个头不大 还挺红 然后在最后发现两个磕碰的 不过总体便宜啦
苹果 太 好吃 太甜 京东 太给力 苹果 大 脆 好吃,苹果太好吃了，太甜了京东太给力了苹果又大又脆又好吃
苹果 质量 好 下午 收到 凉 包装 结实 没 发现 明显 磕碰,苹果质量很好，下午收到还是凉的，包装结实，没发现明显磕碰。
好吃 好吃 好吃 重要 事情 说 三遍,很好吃，很好吃，很好吃！重要的事情说三遍！
新鲜 红扑扑 快递 小哥 辛苦,很新鲜，红扑扑的，快递小哥辛苦了
多人 黑 真的 好 刚 收到 看图,这么多人黑，这样真的好吗？刚收到的看图。
味道 还 不错 个头 真的 太小 快递 小哥 辛苦 送 很快,味道还不错，但个头真的是太小了，快递小哥辛苦啦，送的很快
苹果 特别 新鲜 非常 脆皮 薄 喜欢,苹果特别新鲜，非常脆皮薄，总之很喜欢
还 没 吃 包装 挺 好 双层 泡沫 网 保证 不会 磕碰 太 贴心 ~ ~ ~ 不错 不错 以后 常来 买 ~ ~ ~,还没吃，不过包装挺好的，双层泡沫网保证不会磕碰，太贴心了~~~不错不错，以后常来买~~~
苹果 很甜 超市 便宜 质量 没 说 快递 服务,苹果很甜 比超市便宜 质量也没的说 快递服务也好
好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好 好,很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好
一般般 除去 邮费 水果摊 上 便宜 味道 还 水份,一般般吧，除去邮费的话比在水果摊上便宜，味道还可以，不过还是有水份。
苹果 口感 不错 大小 差不多 几个 非常 小 感觉 有点 畸形 总 还 不错,苹果口感不错，大小差不多，有几个非常小感觉有点畸形的。总的还不错
苹果 真不错 没有 坏 味道 清香 下次 还来,苹果真不错 没有坏的 味道清香 下次还来
苹果 收到 哇塞 新鲜 漂亮 入口 香甜可口 好吃 一次 购了 2 箱 吃 完 再,苹果收到了 哇塞 新鲜 漂亮 入口香甜可口 好吃 一次购了2箱 吃完再来
苹果 挺 好 个头 挺大 还 没 吃 留 过年 吃 满意,苹果挺好，个头挺大，还没吃，留过年吃呀，满意！
还 个头 不是 特大 一会 合适 主甜 微酸,还可以，个头不是特大，一会一个合适。主甜微酸。
已经 吃 很甜 个头 不大 适合 女生 吃 每个 苹果 都 包 两层 保护膜,已经吃了一个了，很甜，个头不大，很适合女生吃 。每个苹果都包了两层保护膜，
一共 十二个 苹果 比较 小 两个 坏 一点点 当天 回来 晚上 客人 吃 几个 都 说 口感 好 很脆 外面 买要 七八块 一斤,一共十二个苹果，有一个比较小，两个坏了一点点。当天回来，晚上有客人来了，然后就吃了几个。都说口感好 很脆 到外面买要七八块一斤。
苹果 个头 还 接受 范围 内 新鲜 不错 快递 不错 下 大雨 送货,苹果可以个头还在可接受范围内，很新鲜不错。快递不错下大雨送货的。
满意 购物 京东 货真价实 老客户 希望 今后 继续 消费者 提供 优质服务,很满意的购物，京东货真价实，是老客户了，希望今后继续为消费者提供优质服务。
买 家人 吃 没 看到 货 应该 还 物流 力 昨天 下单 今天下午,买给家人吃的，我没看到货，应该还可以吧，物流还是很给力，昨天下单，今天下午就到了
好 第二次 购买 质量 不错 送货 快 包装 必须 好评,很好，第二次购买了，质量不错，送货快，包装也好，必须好评！！
还 这阵 价格比 前面 贵,还可以啊，只是这阵价格比前面贵
华圣 苹果 鲜果 好吃 希望 促销 力度 大 点,华圣苹果如鲜果一般，好吃，希望促销力度大点
速度 飞 快 正品 正品 支持 东哥,速度飞一般的快，正品，正品，支持东哥。
苹果 好吃 有坏 售后 一级 赞,苹果很好吃，虽然有坏的但是售后一级赞
苹果 质量 好 新鲜 个头 一至 都 没有 烂 京东 值得 信赖 产品 值得 信赖,苹果质量很好，新鲜，个头一至，一个都没有烂。京东值得信赖，产品值得信赖
石头 硬 味道 幸好 没买,和石头一样硬而且味道也就那样！幸好没买那么多！
新鲜 爽脆 糖份 足 不带 酸味 洗 干净 可带 皮 吃 有点 小,新鲜，爽脆，糖份足，不带酸味，洗干净可带皮吃，就是有点小～
货 收到 质量 还 物流 很快 送货 服务态度 好 原装 产品,货收到，质量还可以。物流很快，送货服务态度好。原装产品
华圣 苹果 超市 便宜 没有 超市 大 挺 新鲜,这个华圣的苹果比超市的便宜，但是没有超市的大，不过也可以了，挺新鲜的！
苹果 不错 新鲜 味道 好 店里 好多,"苹果不错,新鲜,味道好,比店里好多了"
超级 棒 特别 新鲜 冰冰 感觉 特别 爽 吃 完 再 买 喜欢 自营 店,超级棒，特别新鲜！冰冰的感觉，特别爽。吃完了再买。哈哈，就是喜欢自营店。
不错 家里 小孩 挺 爱 吃 大小 相差 甚远,不错，家里小孩挺爱吃，就是大小相差甚远。
今日 营养 小 知识 夏季 家人 胃口 差 主食 菜 一起 食用 避免 吃饭 太 费劲 不 爱 吃饭 对付 不爱 吃饭 熊 孩子 卷 一起 一口 接 一口 吃 下去 道菜 爽口 却 能量 不高 适合 夏天 食用 缺少 营养 加入 牛肉 酱 一起 吃 牛肉 宝宝 荤 素 搭配 当然 没有 牛肉 酱 不要紧 再菜 中 打入 鸡蛋 加 一点点 盐 同样 美味,今日营养小知识，夏季家人胃口差，主食和菜一起食用可以避免因为吃饭太费劲而不爱吃饭，对付不爱吃饭的熊孩子，可以卷在一起，让他一口接一口的吃下去，只是，这道菜虽然爽口，却能量不高，虽然适合夏天食用，但缺少营养，所以，加入牛肉酱，一起吃了牛肉，宝宝们就荤素搭配了，当然，没有牛肉酱也不要紧，再菜中打入一个鸡蛋，加一点点盐，也可以同样美味哦
第一次 买 大 甜 之后 买 一次 一次 不甜,第一次买又大又甜，之后买一次不如一次了，不甜
不错 喜欢 相信 JD 会 支持 京东 不错 喜欢 相信 JD 会 支持 京东 不错 喜欢 相信 JD 会 支持 京东,很不错 很喜欢 一直相信JD . 也会一直支持京东 很不错 很喜欢 一直相信JD . 也会一直支持京东 很不错 很喜欢 一直相信JD . 也会一直支持京东
水多肉脆 买 最合适 水果,水多肉脆，一直买，最合适的水果了。
不错 没有 破损 甜 实惠 超市 有时 回会 酸,不错，没有破损的，甜，实惠，我们这边超市的有时回会很酸。
不错 不错 这次 尝尝 甘肃 苹果 味儿,不错不错！这次尝尝甘肃的苹果啥味儿！
今天 刚 到货 吃 两 不错 商场 便宜,今天刚到货 吃了两 不错 比商场便宜
全家人 都 喜欢 吃 苹果 甜 脆 京东 售后 好 值得 信赖,我们全家人都喜欢吃这个苹果，又甜又脆。并且京东售后很好。值得信赖。
不错 苹果 潘 苹果 比较 给力 相比之下,不错的苹果但是还是潘苹果比较给力相比之下
价廉物美 现在 不是 保存 好 满分,价廉物美!现在不是时候也能保存这样好满分
没有 以前 春节 回家 买 好 买 6 盒 苹果 都 红 特别 很甜 水分 充足 大小 较为 均匀 这次 买 一盒 山东 红富士 外观 几乎 看不出 差异 不知 原因 反正 没有 不 红彤彤 大小 差异 较大 倒 没有 坏 苹果 方便 处 不 放 冰箱 保持 7 天 左右 新鲜,没有以前春节回家买的好了，但是买了6盒，苹果都很红很特别很甜，水分也很充足，大小较为均匀。    这次买的一盒，跟山东红富士外观几乎看不出差异了，不知什么原因，反正没有不红彤彤了，大小差异有较大的。    倒是没有坏的，苹果的方便之处就是不放冰箱也能保持7天左右的新鲜。
味道 不错 特别 爽口 脆脆 好吃,味道不错，特别爽口，脆脆的，很好吃
好吃 苹果 个头 大 味道 甜 香脆 可口 还会 再 买,很好吃的苹果，个头大，味道甜，香脆可口。还会再买。
还 不错 一次 亲自 签收 检查 总体 满意 大小 差异 没有 去量 轻微 磕碰 痕迹 无 大碍 专挑 看起来 最差 最小 酸甜 可口 赞 家里 农村 偏僻 京东 照样 送上门 强哥 很棒 京东 快递 员 很棒,还不错，这一次亲自签收检查。总体还是很满意，大小有些差异，也没有去量。一个轻微磕碰痕迹，无大碍。    专挑了一个看起来最差最小的，酸甜可口。赞。    家里农村偏僻，京东照样送上门。强哥很棒，京东的快递员很棒
苹果 可口 香脆 爽口 关键 快递 小哥 服务态度 太好了,苹果很可口，香脆爽口，关键是快递小哥服务态度太好了
这次 苹果 不是 太 满意 一开 带 疤 看起来 不算 新鲜 没 以前 买 好,这次的苹果不是太满意，一开就拿着个带疤的，看起来不算新鲜，没以前买的好。
这次 一口气 买 两箱 苹果 大小 很脆 很甜 光看 颜色 诱人 儿子 说 好吃,这次一口气就买了两箱，苹果大小一样，很脆很甜。光看颜色就很诱人。儿子也说好吃。
不错 新鲜 好吃 方便快捷 购物 体验,不错，很新鲜，很好吃，方便快捷的购物体验
苹果 挺 好 小 挺 酸甜 好吃 包装 精美 物流 力 非常 满意 一次 购物 全 五分 好评,苹果挺好的，虽然小，但是挺酸甜，好吃，包装也很精美，物流也很给力，非常满意一次购物，全五分好评
快 递给 力 包装 完好 服务态度 好 苹果 个头 均匀 口感 不错,快递给力，包装完好，服务态度很好。苹果?个头均匀，口感不错
看着 不错 还 没有 吃 期待 品尝 后 感受 后期 评论,看着不错，还没有吃。期待品尝后的感受，后期在评论
不错 包装 完好 服务态度 好 果 很甜 下次 还会 合作,很不错，包装完好，服务态度也很好，果也很甜，下次还会合作。
个头 不大 很脆 新鲜 不是 很甜,个头不大，但很脆，很新鲜！不是很甜！
喜欢 京东 购物 方便快捷 东西 丰富,喜欢京东购物，方便快捷，东西丰富
好 好 说好 次日 达 第三日 送到 一箱 还 没有 京东 买 东西 喜欢 速度,好是好，说好的次日达，结果第三日在送到！另外一箱还没有到！在京东买东西就是喜欢它的速度，结果……哎～!
还 没 吃 看起来 还 不错 以前 买 好 单果 最轻 205g 重 232g 包装 好 没有 磕碰 情况 昨天下午 下单 今天上午,"还没吃，看起来还不错，比以前买的要好，单果最轻205g,重的232g,包装也很好，没有磕碰情况，昨天下午下单，今天上午就到了。"
送货 快 新鲜 真的 新鲜 还 带有 水珠 味道 香甜 水分 足 好吃 值得 推荐 包装 好 没有 磕碰 快递 小哥 态度 特别 好,送货快，新鲜，真的很新鲜，还带有水珠，味道香甜，水分足，好吃，值得推荐。包装很好，没有磕碰。快递小哥态度特别好
非常 好吃 苹果 不大不小 天天 吃 买过 多次,非常好吃的苹果，不大不小，天天吃，买过很多次了
质量 不错 价格 实惠 送货 及时 快递 小哥 服务 认真负责 送货上门 人 非常 非常 愉快 一次 网购 京东 买 东西 别家 好,质量不错，价格实惠，送货及时，快递小哥服务认真负责，送货上门，让人非常非常愉快的一次网购，在京东买的东西就是比别家的好
非常 甜 个头 不大 刚刚 好 适合 孩子 吃 无限 回购 无限 回购 无限 回购 非常 甜 个头 不大 刚刚 好 适合 孩子 吃 无限 回购 无限 回购 无限 回购 非常 甜 个头 不大 刚刚 好 适合 孩子 吃 无限 回购 无限 回购 无限 回购,?非常甜，个头不大刚刚好，适合孩子吃，无限回购！！无限回购！！无限回购！！?非常甜，个头不大刚刚好，适合孩子吃，无限回购！！无限回购！！无限回购！！?非常甜，个头不大刚刚好，适合孩子吃，无限回购！！无限回购！！无限回购！！
换 没有 想想 中 好 一份 价钱 一分货 包装 好 快递 很快,换可以吧，虽然没有想想中的好，但是一份价钱一分货。包装很好，快递很快
好 喜欢 京东 物流 售后 必须 选择 自营,很好，喜欢京东的物流和售后，必须的选择自营
还 不错 个头 没有 称 不 知道 够不够 重量,还不错，个头一般，没有称，不知道够不够重量
苹果 不错 之前 买过 价格便宜 果实 大小 均匀 香甜 酥脆 会 回购,苹果不错 之前买过 价格便宜 果实大小均匀 香甜酥脆 会回购
习惯 好评 还 没 吃 吃 再来 追评,习惯好评，还没吃，吃了，再来追评！
华圣 高原 红富士 苹果 6 个装 多次 买 很甜 水份 全家 都 爱 吃,华圣高原红富士苹果6个装多次买了很甜，水份多全家都爱吃
苹果 刚刚 收到 口味 很正 很脆 很甜 果 大小 不 一次 方面 都 好 尤其 脆 甜 真的 值得 去 购买 一次 买 上次 口味 物流 快递 都 力,苹果刚刚收到，口味很正，很脆很甜的不过就是果的大小不一次，其他在各方面都很好，尤其是脆甜，真的值得你去购买，这一次买的和上次一样口味，物流和快递都很给力
第一次 京东 买 水果 发货 速度 很快 包装 好 苹果 品质 好 小点,第一次在京东买水果，发货速度很快，包装又好，苹果品质好，就是小点了
新鲜 包装 不错 脆脆 来说 太酸 个头 不大,很新鲜，包装也不错，脆脆的，但是对我来说太酸了，个头也不大。。。。
潘 苹果 不错 包装 好 水果 新鲜 喜欢,潘苹果，不错！包装好！水果新鲜！喜欢
苹果 不错 品相 好 口味 应该 不错,苹果不错，品相很好，口味应该也不错
挺 甜 小 不是 很脆 那种 没软 掉,挺甜的，个小，不是很脆那种，但是也没软掉
苹果 不大 特别 香甜 味道 可口 好吃 购买 多次 没有 不好,苹果个不大但是特别香甜，味道可口，很好吃，购买了多次了，没有一个不好的。
苹果 味道 还 不错 送货 态度 不错 快递 小哥 换 挺快,苹果味道还不错，送货态度很不错，不过快递小哥换的挺快的。
惊喜 下午 订下 单 7 点半 送到 看 物流 信息 一路 小哥 周到 及时 谢谢 道 一声 辛苦 拆开 外包装 挨个 除去 防震 套 一个个 鲜亮 苹果 呈现 眼前 满意 开心 谢谢 京东 谢谢 京东 工作 所有 员工,有些惊喜：下午订下的单，7点半送到了。看物流信息，一路的小哥很周到及时，谢谢了！道一声辛苦！拆开外包装、挨个的除去防震套，一个个鲜亮的苹果呈现眼前，很满意、很开心！谢谢京东！谢谢为京东工作的所有员工！
不错 一次 购物 苹果 新鲜 物流 很快 大小不一 看起来 蛮 自然 生长 那种,很不错的一次购物，苹果很新鲜，物流很快，大小不一看起来蛮自然生长的那种
这次 苹果 上次 好 希望 更 优惠 ^ _ ^,这次的苹果比上次的要好！希望有更多优惠(^_^;)！
性价比 高 送货上门 方便快捷 包装 结实 完好 一下子 买 12 色泽 好色 口感 好点 主要 今次 没有 坏果 品牌 值得 信赖,性价比高，送货上门，方便快捷，包装结实完好，一下子买12个，色泽好色，口感好点！主要今次的没有坏果，品牌值得信赖！
还好 水分 足 味道 还 不错 包装 力,还好。。。水分足！！味道还不错。。。包装也给力
苹果 大小 均匀 新鲜 甜脆 不错 投递 速度快 服务 好 到位 应该 好评,这苹果大小均匀新鲜甜脆不错而且投递速度快服务又好又到位，应该给一个好评。
苹果 不怎么 好吃 味道 很淡 皮 比较 青,这苹果不怎么好吃，味道很淡，皮比较青。
苹果 新鲜 包装 非常 那天 正值 大雨 及时 送到 感动,苹果很新鲜，包装非常?，那天正值大雨，也及时送到，很感动。
苹果 质量 很棒 保持 新鲜 很甜 水份 足,苹果质量很棒，保持的很新鲜，很甜、水份足！
吃 第二个 情况 都 吃 出 阴影,吃的第二个就这个情况，**都吃出阴影了
喜欢 非常 新鲜 像是 刚 下来 苹果 味道 酸甜 口味 感谢 快递 小哥 送到 家门口 会 继续 光顾,是我喜欢的，非常新鲜，像是刚下来的苹果，味道酸甜口味的，感谢快递小哥送到家门口，会继续光顾！
苹果 包装 好 苹果 外形 味道 好,苹果包装很好，苹果也外形，味道也很好
东西 收到 苹果 不算 大 比较 娇小 店铺 买 比较 下 真的 觉得 小 味道 酸酸甜甜 特别 多汁 爽口 喜欢 吃 红富士 朋友 值得 买来 尝尝,东西收到了，苹果不算大，比较娇小，和我在其他店铺买的比较下真的觉得小，味道是可以的，酸酸甜甜，特别多汁爽口，喜欢吃红富士的朋友还是值得买来尝尝！
苹果 好吃 甜甜的 自我感觉 比蛇果 好吃,这个苹果很好吃 甜甜的 自我感觉比蛇果要好吃
不错 苹果 很甜 感觉 有点 小,不错苹果很甜的！只是感觉有点小了！
京东 买过 水果 之后 一发 不可收拾 物流 很快 水果 真的 好吃 之前 抱 试试 心态 现在 京东 自营 水果 都 买,自从在京东买过水果之后，就一发不可收拾，物流很快，但是水果也是真的很好吃，之前只是抱着试试的心态，现在是京东自营有什么水果我就都买啦，哈哈
洗洁精 洗 带皮 吃 不要 想太多 苹果 好 不错,用洗洁精洗了就可以带皮吃了嘛，不要想太多，苹果还是很好的这个，不错
颜色 网站 上 红 不 知道 味道 先 吃 水果 稍后 再 品尝,颜色不如网站上的红，不知道味道怎样，先吃别的水果，稍后再品尝这个吧。
苹果 现在 只 京东 买 确实 好吃 方便,苹果现在只在京东买！！确实好吃又方便！！
还好 超市 买 便宜 主要 快递 好快,还好！比在超市买的便宜！主要快递好快
味道 不错 好吃 苹果 正宗 味道 不错 好吃 苹果 正宗 味道 不错 好吃 苹果 正宗,味道不错，好吃啊，苹果正宗，味道不错，好吃啊，苹果正宗，味道不错，好吃啊，苹果正宗，
苹果 还 新鲜 很甜 很脆 挺 好,苹果还可以，很新鲜，很甜很脆，挺好的
屯 一大堆 今年过年 蛮 富足 到货 很快,屯了一大堆，今年过年的话蛮富足的!到货很快的!
不错 好吃 经常 京东 上 买 东西 活动 划算,不错，很好吃，经常在京东上买东西，有活动很划算。
正宗 山东 苹果 脆甜 可口 好吃 看得见,正宗山东苹果，脆甜可口，好吃看得见???
不错 苹果 新鲜 清 香甜 脆 老妈 说 还 不够 甜 可能 还 没够 熟 幸运 没有 坏果 包装 完好 物流 速度 快 快递 哥 还 帮忙 验货 点赞,不错苹果新鲜，清香甜脆，不过老妈说还不够甜，可能还没够熟吧，很幸运没有坏果。包装完好，物流速度较快，快递哥还帮忙验货，点赞。
苹果 大小 均匀 包装 好 已经 烂掉,苹果大小均匀，包装很好，但是有一个已经烂掉了。
